valid_time,cluster_id,number,latitude,longitude,tmin,tmax,himax,wbgtmax
2020-07-01,1,0,6.500000000000016,-3.1999999999999997,22.498566,26.235992,26.89350975884332,26.235992
2020-07-02,1,0,6.500000000000016,-3.1999999999999997,22.773712,28.47403,31.80537329779731,28.47403
2020-07-03,1,0,6.500000000000016,-3.1999999999999997,22.864166,29.30484,32.04673767089844,29.30484
2020-07-04,1,0,6.500000000000016,-3.1999999999999997,22.933258,28.251617,31.09217749701606,28.251617
2020-07-05,1,0,6.500000000000016,-3.1999999999999997,22.845123,26.996735,28.746778700086807,26.996735
2020-07-06,1,0,6.500000000000016,-3.1999999999999997,21.821442,28.959747,31.18348863389757,28.959747
2020-07-07,1,0,6.500000000000016,-3.1999999999999997,22.88382,28.693512,31.131685045030384,28.693512
2020-07-08,1,0,6.500000000000016,-3.1999999999999997,22.919342,27.546051,30.39862738715278,27.546051
2020-07-09,1,0,6.500000000000016,-3.1999999999999997,22.860748,25.96817,26.62350548638238,25.96817
2020-07-10,1,0,6.500000000000016,-3.1999999999999997,22.477203,25.577057,26.24372270372179,25.577057
2020-07-11,1,0,6.500000000000016,-3.1999999999999997,21.545074,25.409088,26.058116488986546,25.409088
2020-07-12,1,0,6.500000000000016,-3.1999999999999997,21.782013,27.898346,30.062688191731773,27.898346
2020-07-13,1,0,6.500000000000016,-3.1999999999999997,21.455109,28.829132,31.28307766384549,28.829132
2020-07-14,1,0,6.500000000000016,-3.1999999999999997,22.467194,28.506256,30.923292371961807,28.506256
2020-07-15,1,0,6.500000000000016,-3.1999999999999997,22.132477,28.154694,29.577899509006077,28.154694
2020-07-16,1,0,6.500000000000016,-3.1999999999999997,21.55838,26.899323,28.182178073459202,26.899323
2020-07-17,1,0,6.500000000000016,-3.1999999999999997,21.103546,26.360992,26.840345594618057,26.360992
2020-07-18,1,0,6.500000000000016,-3.1999999999999997,21.822662,27.915802,30.31508551703559,27.915802
2020-07-19,1,0,6.500000000000016,-3.1999999999999997,22.258575,29.229767,32.39329020182292,29.229767
2020-07-20,1,0,6.500000000000016,-3.1999999999999997,22.600739,29.266266,32.541448805067276,29.266266
2020-07-21,1,0,6.500000000000016,-3.1999999999999997,22.406036,28.742706,31.092317369249134,28.742706
2020-07-22,1,0,6.500000000000016,-3.1999999999999997,22.027496,29.3096,31.90149095323351,29.3096
2020-07-23,1,0,6.500000000000016,-3.1999999999999997,22.49002,29.275421,31.63116455078125,29.275421
2020-07-24,1,0,6.500000000000016,-3.1999999999999997,22.610626,28.791412,30.626407199435764,28.791412
2020-07-25,1,0,6.500000000000016,-3.1999999999999997,22.283234,28.43045,30.127987331814236,28.43045
2020-07-26,1,0,6.500000000000016,-3.1999999999999997,21.790924,27.410065,28.688854641384548,27.410065
2020-07-27,1,0,6.500000000000016,-3.1999999999999997,21.8107,27.550934,29.05234866672092,27.550934
2020-07-28,1,0,6.500000000000016,-3.1999999999999997,21.447174,28.067902,29.81024424235026,28.067902
2020-07-29,1,0,6.500000000000016,-3.1999999999999997,21.046906,28.348175,30.20857916937934,28.348175
2020-07-30,1,0,6.500000000000016,-3.1999999999999997,22.239166,28.79361,30.4157469007704,28.79361
2020-07-31,1,0,6.500000000000016,-3.1999999999999997,22.253326,29.276276,31.990542941623264,29.276276
2020-07-01,2,0,6.300000000000017,-2.9999999999999996,22.663116,26.745758,28.737670050726997,26.745758
2020-07-02,2,0,6.300000000000017,-2.9999999999999996,23.09793,28.0065,31.384065416124134,28.0065
2020-07-03,2,0,6.300000000000017,-2.9999999999999996,23.133698,29.252106,32.416843838161896,29.252106
2020-07-04,2,0,6.300000000000017,-2.9999999999999996,23.175812,28.120758,31.259689331054688,28.120758
2020-07-05,2,0,6.300000000000017,-2.9999999999999996,23.065094,26.894928,28.77279493543837,26.894928
2020-07-06,2,0,6.300000000000017,-2.9999999999999996,22.055817,29.21756,31.78282419840495,29.21756
2020-07-07,2,0,6.300000000000017,-2.9999999999999996,23.049713,28.798248,31.541824340820312,28.798248
2020-07-08,2,0,6.300000000000017,-2.9999999999999996,23.114655,26.966217,29.360254075792103,26.966217
2020-07-09,2,0,6.300000000000017,-2.9999999999999996,22.741608,25.647858,26.385442945692276,25.647858
2020-07-10,2,0,6.300000000000017,-2.9999999999999996,22.4794,26.459137,28.453025817871094,26.459137
2020-07-11,2,0,6.300000000000017,-2.9999999999999996,21.80606,24.893219,25.623613993326824,24.893219
2020-07-12,2,0,6.300000000000017,-2.9999999999999996,22.100372,28.28897,30.808567470974392,28.28897
2020-07-13,2,0,6.300000000000017,-2.9999999999999996,21.601593,28.048859,30.507397121853298,28.048859
2020-07-14,2,0,6.300000000000017,-2.9999999999999996,22.609772,28.420319,31.1842770046658,28.420319
2020-07-15,2,0,6.300000000000017,-2.9999999999999996,22.368805,28.213531,29.75252363416884,28.213531
2020-07-16,2,0,6.300000000000017,-2.9999999999999996,21.792755,27.096588,28.559358384874134,27.096588
2020-07-17,2,0,6.300000000000017,-2.9999999999999996,21.146515,27.204987,28.93423292371962,27.204987
2020-07-18,2,0,6.300000000000017,-2.9999999999999996,22.223297,28.359406,31.12928178575304,28.359406
2020-07-19,2,0,6.300000000000017,-2.9999999999999996,22.451202,28.483673,31.342896355523006,28.483673
2020-07-20,2,0,6.300000000000017,-2.9999999999999996,22.696442,29.363922,32.98086802164714,29.363922
2020-07-21,2,0,6.300000000000017,-2.9999999999999996,22.711212,28.869293,31.42531500922309,28.869293
2020-07-22,2,0,6.300000000000017,-2.9999999999999996,22.578278,28.764679,31.465123494466148,28.764679
